,,,,,,,,,,,,,,,,,,,,,,269,# PILIHAN 1,Pilihan 1,,# PILIHAN 2,Pilihan 2,
PROVINSI,KOTA/KABUPATEN,PROVINSI GABUNG,UNIVERSITAS,PROGRAM STUDI,JENJANG,[hidden] concat,"PEMINAT 2024
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER GIGI,S1,S1 - PENDIDIKAN DOKTER GIGI UNIVERSITAS INDONESIA,504,36,7.14%,1104,54,4.89%,714,52,206,621,29,75,1,182,50,YES,,,,,,
Bali,Kab. Badung,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNIK MESIN DAN DIRGANTARA (FTMD),S1,S1 - FAKULTAS TEKNIK MESIN DAN DIRGANTARA (FTMD) INSTITUT TEKNOLOGI BANDUNG,1041,124,11.91%,1692,100,5.91%,714,194,256,789,29,8,173,250,94,YES,,,,,,
Jawa Barat,Kab. Bogor,Jawa Timur,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,SISTEM INFORMASI,S1,S1 - SISTEM INFORMASI INSTITUT TEKNOLOGI SEPULUH NOPEMBER,701,42,5.99%,1156,63,5.45%,713,43,585,711,31,94,325,290,134,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,KEDOKTERAN,S1,S1 - KEDOKTERAN INSTITUT PERTANIAN BOGOR,789,10,1.27%,1124,15,1.33%,712,34,426,49,32,128,260,117,21,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,TEKNIK MESIN,S1,S1 - TEKNIK MESIN UNIVERSITAS INDONESIA,429,40,9.32%,780,60,7.69%,712,28,206,"1,069",32,163,1,316,160,YES,,,,,,
Jawa Barat,Kab. Sumedang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,ARSITEKTUR,S1,S1 - ARSITEKTUR UNIVERSITAS INDONESIA,441,24,5.44%,819,36,4.40%,711,34,206,535,34,128,1,175,46,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS DIPONEGORO,KEDOKTERAN,S1,S1 - KEDOKTERAN UNIVERSITAS DIPONEGORO,1703,60,3.52%,3243,90,2.78%,711,134,721,247,34,18,453,188,53,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,"SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN (SAPPK)",S1,"S1 - SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN (SAPPK) INSTITUT TEKNOLOGI BANDUNG",843,77,9.13%,1197,59,4.93%,710,106,256,630,36,25,173,216,68,YES,,,,,,
DKI Jakarta,Kota Jakarta Selatan,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,PSIKOLOGI,S1,S1 - PSIKOLOGI UNIVERSITAS GADJAH MADA,1614,68,4.21%,4022,68,1.69%,709,152,239,92,37,16,80,56,3,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,ARSITEKTUR,S1,S1 - ARSITEKTUR UNIVERSITAS GADJAH MADA,437,24,5.49%,944,24,2.54%,709,34,239,215,37,128,80,115,20,YES,,,,,,
Jawa Barat,Kota Depok,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PADJADJARAN,PENDIDIKAN DOKTER,S1,S1 - PENDIDIKAN DOKTER UNIVERSITAS PADJADJARAN,1523,66,4.33%,3055,99,3.24%,709,238,596,327,37,4,381,187,52,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN - TEKNOLOGI LINGKUNGAN (FTSL-L),S1,S1 - FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN - TEKNOLOGI LINGKUNGAN (FTSL-L) INSTITUT TEKNOLOGI BANDUNG,635,76,11.97%,1007,68,6.75%,709,100,256,907,37,29,173,287,128,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,Jawa Timur,UNIVERSITAS JEMBER,PENDIDIKAN DOKTER,S1,S1 - PENDIDIKAN DOKTER UNIVERSITAS JEMBER,924,57,6.17%,1791,76,4.24%,708,42,-,508,41,97,tidak valid,215,67,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN - INFRASTRUKTUR SIPIL DAN KELAUTAN (FTSL-SI),S1,S1 - FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN - INFRASTRUKTUR SIPIL DAN KELAUTAN (FTSL-SI) INSTITUT TEKNOLOGI BANDUNG,852,118,13.85%,1355,106,7.82%,708,90,256,"1,102",41,35,173,338,173,YES,,,,,,
Jawa Barat,Kota Tasikmalaya,Jawa Timur,UNIVERSITAS BRAWIJAYA,KEDOKTERAN,S1,S1 - KEDOKTERAN UNIVERSITAS BRAWIJAYA,1610,70,4.35%,3005,105,3.49%,707,166,801,360,43,12,521,234,82,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,S1 - TEKNOLOGI PANGAN DAN HASIL PERTANIAN UNIVERSITAS GADJAH MADA,469,33,7.04%,1015,33,3.25%,705,25,239,328,44,188,80,160,36,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNOLOGI INDUSTRI - REKAYASA INDUSTRI (FTI-RI),S1,S1 - FAKULTAS TEKNOLOGI INDUSTRI - REKAYASA INDUSTRI (FTI-RI) INSTITUT TEKNOLOGI BANDUNG,729,56,7.68%,1231,61,4.96%,705,76,256,638,44,48,173,226,75,YES,,,,,,
Jawa Barat,Kota Depok,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNOLOGI INDUSTRI - SISTEM DAN PROSES (FTI-SP),S1,S1 - FAKULTAS TEKNOLOGI INDUSTRI - SISTEM DAN PROSES (FTI-SP) INSTITUT TEKNOLOGI BANDUNG,1029,140,13.61%,1161,128,11.02%,705,79,256,"1,525",44,46,173,447,279,YES,,,,,,
Jawa Barat,Kab. Karawang,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,KEDOKTERAN GIGI,S1,S1 - KEDOKTERAN GIGI UNIVERSITAS GADJAH MADA,624,47,7.53%,1350,47,3.48%,704,73,239,357,47,53,80,134,28,YES,,,,,,
Jawa Barat,Kota Depok,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM),S1,S1 - FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM) INSTITUT TEKNOLOGI BANDUNG,1894,140,7.39%,3492,123,3.52%,704,366,256,364,47,1,173,146,32,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,TEKNIK KOMPUTER,S1,S1 - TEKNIK KOMPUTER UNIVERSITAS INDONESIA,526,28,5.32%,909,42,4.62%,704,28,206,580,47,163,1,198,57,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Timur,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,SAINS DATA,S1,S1 - SAINS DATA INSTITUT TEKNOLOGI SEPULUH NOPEMBER,169,9,5.33%,313,14,4.47%,704,11,585,551,47,362,325,321,164,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,Sumatera Utara,UNIVERSITAS SUMATERA UTARA,PENDIDIKAN DOKTER,S1,S1 - PENDIDIKAN DOKTER UNIVERSITAS SUMATERA UTARA,1480,55,3.72%,2041,80,3.92%,704,60,1201,436,47,65,843,348,181,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,KEDOKTERAN,S1,S1 - KEDOKTERAN UNIVERSITAS NEGERI SEMARANG,703,10,1.42%,1000,15,1.50%,703,9,1401,72,52,419,1280,456,288,YES,,,,,,
Jawa Barat,Kota Depok,"Banten, DKI Jakarta & Jawa Barat","UPN ""VETERAN"" JAKARTA",KEDOKTERAN,S1,"S1 - KEDOKTERAN UPN ""VETERAN"" JAKARTA",1065,41,3.85%,2251,103,4.58%,703,24,1301,568,52,194,1128,486,323,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,MANAJEMEN,S1,S1 - MANAJEMEN UNIVERSITAS GADJAH MADA,1220,45,3.69%,2604,45,1.73%,702,82,239,96,54,43,80,68,8,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNIK INDUSTRI,S1,S1 - TEKNIK INDUSTRI UNIVERSITAS GADJAH MADA,601,36,5.99%,1429,36,2.52%,702,51,239,208,54,76,80,105,16,YES,,,,,,
Jawa Barat,Kab. Karawang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,TEKNIK METALURGI & MATERIAL,S1,S1 - TEKNIK METALURGI & MATERIAL UNIVERSITAS INDONESIA,387,34,8.79%,756,51,6.75%,702,31,206,905,54,144,1,276,122,YES,,,,,,
Jawa Barat,Kota Depok,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNIK NUKLIR,S1,S1 - TEKNIK NUKLIR UNIVERSITAS GADJAH MADA,197,15,7.61%,377,15,3.98%,701,20,239,452,57,227,80,204,61,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,S1,S1 - TEKNIK INDUSTRI UNIVERSITAS INDONESIA,659,52,7.89%,1367,78,5.71%,701,58,206,755,57,70,1,221,73,YES,,,,,,
Jawa Barat,Kab. Karawang,Jawa Tengah & DIY,UNIVERSITAS SEBELAS MARET,KEDOKTERAN,S1,S1 - KEDOKTERAN UNIVERSITAS SEBELAS MARET,1290,48,3.72%,2736,72,2.63%,701,102,1001,225,57,27,662,243,90,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Timur,UNIVERSITAS AIRLANGGA,AKUNTANSI,S1,S1 - AKUNTANSI UNIVERSITAS AIRLANGGA,954,50,5.24%,1682,75,4.46%,700,60,308,547,60,65,197,217,70,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,MATEMATIKA,S1,S1 - MATEMATIKA UNIVERSITAS INDONESIA,243,20,8.23%,315,30,9.52%,700,7,206,"1,348",60,517,1,482,320,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,ILMU EKONOMI,S1,S1 - ILMU EKONOMI UNIVERSITAS GADJAH MADA,329,30,9.12%,931,30,3.22%,699,21,239,324,62,217,80,171,42,YES,,,,,,
Jawa Barat,Kota Tasikmalaya,Jawa Timur,UNIVERSITAS AIRLANGGA,KEDOKTERAN GIGI,S1,S1 - KEDOKTERAN GIGI UNIVERSITAS AIRLANGGA,714,50,7.00%,1592,75,4.71%,699,89,308,599,62,36,197,224,74,YES,,,,,,
Jawa Barat,Kota Depok,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNIK MESIN,S1,S1 - TEKNIK MESIN UNIVERSITAS GADJAH MADA,508,51,10.04%,1019,51,5.00%,699,24,239,647,62,194,80,246,93,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,TEKNIK SIPIL,S1,S1 - TEKNIK SIPIL UNIVERSITAS INDONESIA,494,40,8.10%,919,60,6.53%,699,37,206,872,62,114,1,262,106,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,Jawa Tengah & DIY,UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN DOKTER,S1,S1 - PENDIDIKAN DOKTER UNIVERSITAS JENDERAL SOEDIRMAN,1014,53,5.23%,2058,70,3.40%,699,26,801,347,62,176,521,277,123,YES,,,,,,
Sumatera Selatan,Kab. Ogan Ilir,Jawa Timur,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,STATISTIKA BISNIS,D4,D4 - STATISTIKA BISNIS INSTITUT TEKNOLOGI SEPULUH NOPEMBER,200,33,16.50%,1670,52,3.11%,699,0,585,300,62,2004,325,673,526,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,SASTRA INGGRIS,S1,S1 - SASTRA INGGRIS UNIVERSITAS GADJAH MADA,278,21,7.55%,708,21,2.97%,698,18,239,281,68,254,80,171,42,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNIK SIPIL,S1,S1 - TEKNIK SIPIL UNIVERSITAS GADJAH MADA,557,33,5.92%,1336,33,2.47%,697,62,239,205,69,63,80,104,14,YES,,,,,,
DKI Jakarta,Kota Jakarta Timur,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNIK GEOLOGI,S1,S1 - TEKNIK GEOLOGI UNIVERSITAS GADJAH MADA,341,36,10.56%,1105,36,3.26%,697,29,239,329,69,158,80,159,35,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Timur,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK INFORMATIKA,S1,S1 - TEKNIK INFORMATIKA INSTITUT TEKNOLOGI SEPULUH NOPEMBER,1431,60,4.19%,2225,84,3.78%,697,73,585,408,69,53,325,214,66,YES,,,,,,
Jawa Barat,Kab. Bandung Barat,Jawa Timur,UNIVERSITAS AIRLANGGA,TEKNIK ELEKTRO,S1,S1 - TEKNIK ELEKTRO UNIVERSITAS AIRLANGGA,139,20,14.39%,349,30,8.60%,697,3,308,"1,226",69,868,197,590,439,YES,,,,,,
Jawa Barat,Kota Tasikmalaya,Jawa Timur,"UPN ""VETERAN"" JAWA TIMUR",KEDOKTERAN,S1,"S1 - KEDOKTERAN UPN ""VETERAN"" JAWA TIMUR",351,15,4.27%,692,20,2.89%,697,4,1401,267,69,748,1280,591,440,YES,,,,,,
Jawa Barat,Kab. Sumedang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,MANAJEMEN,S1,S1 - MANAJEMEN UNIVERSITAS INDONESIA,1545,76,4.92%,2915,114,3.91%,696,132,206,434,74,19,1,132,27,YES,,,,,,
Jawa Barat,Kota Tasikmalaya,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,SEKOLAH FARMASI (SF),S1,S1 - SEKOLAH FARMASI (SF) INSTITUT TEKNOLOGI BANDUNG,856,67,7.83%,895,58,6.48%,696,78,256,867,74,47,173,290,134,YES,,,,,,
